"UserAvatar href","avatar-image src","subject-link","subject-link href","solved-msg","solved-msg src","truncated-body","author 2","badges src","badges src 2","badges src 3","time","views-count","kudo-count","reply-count","show-more-body","show-more-body href","full-body","show-less-body","lia-user-rank-icon src","full-body 2","full-body 3"
"https://community.infineon.com/t5/user/viewprofilepage/user-id/91412","https://community.infineon.com/t5/image/serverpage/avatar-name/binoculars/avatar-theme/candy/avatar-collection/tech/avatar-display-size/profile/version/2?xdesc=1.0","suffix “XT” in BAV199E6327XT","https://community.infineon.com/t5/RF-Transistors/suffix-XT-in-BAV199E6327XT/td-p/719366","Solved","https://community.infineon.com/html/assets/solved.svg","Hi,","Carmen_MC","https://community.infineon.com/html/@2B1A508C78E14E291DB4F746ED38E75D/badge_icons/Login_25.svg","https://community.infineon.com/html/@1196654FE7D08F618233C90299142872/badge_icons/Questions%20asked_10.svg","https://community.infineon.com/html/@9FEDFFCBA9FB60B2EB3889D72F5D4A95/badge_icons/Give%20accepted%20solutions_1.svg","2024/3/21","142","0","2","","","","","","",""
"https://community.infineon.com/t5/user/viewprofilepage/user-id/102445","https://community.infineon.com/html/@809ED64A7C313CC4C781A2681ADEFC00/assets/image_2021_02_09T14_02_44_651Z.png","Suffix H6327 and Blank of BFR182W","https://community.infineon.com/t5/RF-Transistors/Suffix-H6327-and-Blank-of-BFR182W/td-p/689744","Solved","https://community.infineon.com/html/assets/solved.svg","HI, Team 
I have questions.I was checking the FIT report.And I have doubts about the product name being different from the data sheet.What does the su...","Translation_Bot","","","","2024/2/5","271","0","2","Show More","https://community.infineon.com/","HI, Team 
I have questions.I was checking the FIT report.And I have doubts about the product name being different from the data sheet.What does the suffix H6327 and Blank of BFR_182W?BFR_182W_H6327

Best Regards.","Show Less","https://community.infineon.com/i/rank_icons/admin.gif","",""
"https://community.infineon.com/t5/user/viewprofilepage/user-id/102445","https://community.infineon.com/html/@809ED64A7C313CC4C781A2681ADEFC00/assets/image_2021_02_09T14_02_44_651Z.png","BC817K-40R","https://community.infineon.com/t5/RF-Transistors/BC817K-40R/td-p/709531","Solved","https://community.infineon.com/html/assets/solved.svg","BAS 52-02V,hand soldering,any good advice and steps to take,thanks!","Translation_Bot","","","","2024/3/7","159","0","2","Show More","https://community.infineon.com/","BAS 52-02V,hand soldering,any good advice and steps to take,thanks!","Show Less","https://community.infineon.com/i/rank_icons/admin.gif","",""
"https://community.infineon.com/t5/user/viewprofilepage/user-id/102445","https://community.infineon.com/html/@809ED64A7C313CC4C781A2681ADEFC00/assets/image_2021_02_09T14_02_44_651Z.png","LTSPICE for BFP183","https://community.infineon.com/t5/RF-Transistors/LTSPICE-for-BFP183/td-p/686954","Solved","https://community.infineon.com/html/assets/solved.svg","Hi, TEAM 
I have a question.Do you have LTSPICE of BFP183 ?I CHECKED THE WEB, BUT we have SPAR only.We need LTSPICE or SPICE model of .lib/.asy.Can yo...","Translation_Bot","","","","2024/1/31","287","0","3","Show More","https://community.infineon.com/","Hi, TEAM 
I have a question.Do you have LTSPICE of BFP183 ?I CHECKED THE WEB, BUT we have SPAR only.We need LTSPICE or SPICE model of .lib/.asy.Can you check it?Best Regards.","Show Less","https://community.infineon.com/i/rank_icons/admin.gif","",""
"https://community.infineon.com/t5/user/viewprofilepage/user-id/162252","https://community.infineon.com/t5/image/serverpage/avatar-name/toychance/avatar-theme/candy/avatar-collection/toys/avatar-display-size/profile/version/2?xdesc=1.0","NE46134 replacement for HF pre-amp","https://community.infineon.com/t5/RF-Transistors/NE46134-replacement-for-HF-pre-amp/td-p/666480","Solved","https://community.infineon.com/html/assets/solved.svg","I'm designing an RF pre-amp for an SDR radio 0-500MHz and used the NE46134 which is now obsolete.
If anyone knows a drop in replacement, or functional...","Robmar","https://community.infineon.com/html/@8D0CEDDB2B2BA0125F60F1F756154B75/badge_icons/Likes%20given_1.svg","https://community.infineon.com/html/@DB310C00FCF7164DF57F5E9E38A34695/badge_icons/Reply%20to%20questions_1.svg","https://community.infineon.com/html/@5D4E593E0A030CD78DB8D5CDDA2554E1/badge_icons/Likes%20received_1.svg","2023/12/25","781","1","7","Show More","https://community.infineon.com/","I'm designing an RF pre-amp for an SDR radio 0-500MHz and used the NE46134 which is now obsolete.","Show Less","","If anyone knows a drop in replacement, or functional replacement, please let me know.","Thanks"
"https://community.infineon.com/t5/user/viewprofilepage/user-id/102445","https://community.infineon.com/html/@809ED64A7C313CC4C781A2681ADEFC00/assets/image_2021_02_09T14_02_44_651Z.png","The difference between low noise RF transistor/BFP840ESD and BFP840FeSD","https://community.infineon.com/t5/RF-Transistors/The-difference-between-low-noise-RF-transistor-BFP840ESD-and-BFP840FeSD/td-p/666902","Solved","https://community.infineon.com/html/assets/solved.svg","I would like to ask, what is the difference between BFP840ESD and BFP840FESD? What does an F mean?
There is only a difference in the conversion freque...","Translation_Bot","","","","2023/12/25","439","0","2","Show More","https://community.infineon.com/","I would like to ask, what is the difference between BFP840ESD and BFP840FESD? What does an F mean?","Show Less","https://community.infineon.com/i/rank_icons/admin.gif","There is only a difference in the conversion frequency and noise coefficient between the two on the data sheet, and the packaging is different. What are the other differences","smartconx_target@Q!w2e3r4t5y6u7i8o9p0||/t5/RF%E6%99%B6%E4%BD%93%E7%AE%A1/Low-noise-RF-transistor-BFP840ESD%E4%B8%8EBFP840FESD%E5%8C%BA%E5%88%AB/td-p/666901"
"https://community.infineon.com/t5/user/viewprofilepage/user-id/161173","https://community.infineon.com/t5/image/serverpage/avatar-name/vampire/avatar-theme/candy/avatar-collection/monsters/avatar-display-size/profile/version/2?xdesc=1.0","BAT64-05W","https://community.infineon.com/t5/RF-Transistors/BAT64-05W/td-p/652841","Solved","https://community.infineon.com/html/assets/solved.svg","I wanted to check what suffix H6327  stand for in part number BAT6405W H6327
and if there is any link to this in the Infineon website for future refer...","zeeshan","https://community.infineon.com/html/@DB310C00FCF7164DF57F5E9E38A34695/badge_icons/Reply%20to%20questions_1.svg","https://community.infineon.com/html/@BB7CBF68EA79EE2CE80785E7E8F100B7/badge_icons/Questions%20asked_1.svg","https://community.infineon.com/html/@4F31C10E63A8DEAD5447F4ACE23F9B35/badge_icons/Login_1.svg","2023/12/4","497","0","3","Show More","https://community.infineon.com/","I wanted to check what suffix H6327  stand for in part number BAT6405W H6327","Show Less","","and if there is any link to this in the Infineon website for future reference, Thank you",""
"https://community.infineon.com/t5/user/viewprofilepage/user-id/160040","https://community.infineon.com/t5/image/serverpage/avatar-name/bike/avatar-theme/candy/avatar-collection/transit/avatar-display-size/profile/version/2?xdesc=1.0","Request for PCB design files for any of the BFP transistor's eval boards","https://community.infineon.com/t5/RF-Transistors/Request-for-PCB-design-files-for-any-of-the-BFP-transistor-s-eval-boards/td-p/641199","Solved","https://community.infineon.com/html/assets/solved.svg","Hello everyone,
 
I am working on my master thesis project developing a high frequency (<3 GHz) photodiode amplifier, and was wondering if someone cou...","mazzika","https://community.infineon.com/html/@DB310C00FCF7164DF57F5E9E38A34695/badge_icons/Reply%20to%20questions_1.svg","https://community.infineon.com/html/@BB7CBF68EA79EE2CE80785E7E8F100B7/badge_icons/Questions%20asked_1.svg","https://community.infineon.com/html/@4F31C10E63A8DEAD5447F4ACE23F9B35/badge_icons/Login_1.svg","2023/11/15","617","0","3","Show More","https://community.infineon.com/","Hello everyone,","Show Less","","","I am working on my master thesis project developing a high frequency (<3 GHz) photodiode amplifier, and was wondering if someone could supply me with the PCB design files of any of the BFP dev boards. Unfortunately, distributors don't seem to have them in-stock, and I am planning to use it as a template to give me a head start and save me some time."
"https://community.infineon.com/t5/user/viewprofilepage/user-id/102445","https://community.infineon.com/html/@809ED64A7C313CC4C781A2681ADEFC00/assets/image_2021_02_09T14_02_44_651Z.png","How to improve the RF communication distance","https://community.infineon.com/t5/RF-Transistors/How-to-improve-the-RF-communication-distance/td-p/640254","Solved","https://community.infineon.com/html/assets/solved.svg","How can I increase the RF communication distance without an amplifier? What parameters can improve its communication distance?","Translation_Bot","","","","2023/11/13","366","0","1","","","","","https://community.infineon.com/i/rank_icons/admin.gif","",""
"https://community.infineon.com/t5/user/viewprofilepage/user-id/159820","https://community.infineon.com/t5/image/serverpage/avatar-name/robogolem/avatar-theme/candy/avatar-collection/robots/avatar-display-size/profile/version/2?xdesc=1.0","Probelems with HBT BFP620F","https://community.infineon.com/t5/RF-Transistors/Probelems-with-HBT-BFP620F/td-p/638869","Solved","https://community.infineon.com/html/assets/solved.svg","Hey everyone! I've run into a bit of a snag while working with the BFP620F transistor. The package didn't have any markings as indicated in the attach...","sunmenghan","https://community.infineon.com/html/@BB7CBF68EA79EE2CE80785E7E8F100B7/badge_icons/Questions%20asked_1.svg","https://community.infineon.com/html/@4F31C10E63A8DEAD5447F4ACE23F9B35/badge_icons/Login_1.svg","","2023/11/10","472","0","1","Show More","https://community.infineon.com/","Hey everyone! I've run into a bit of a snag while working with the BFP620F transistor. The package didn't have any markings as indicated in the attached pic, not in line with the details mentioned in the datasheet about a marked footprint. This makes it a bit tricky to figure out which pin is the base or collector.","Show Less","","Also, during measurements, I noticed the collector current bouncing between 0 to 30 mA, even with the base current correctly set. Has anyone else faced a similar issue?","Would appreciate any insights or advice!"
